MA-502,Lynn CoC,610,200,380,580,30,300,55,215,270,30,310,145,165,310,0,131,51,80,131,0,59,38,38,21
MA-503,Cape Cod Islands CoC,611,287,120,407,204,336,108,84,192,144,275,179,36,215,60,100,66,12,78,22,145,68,68,77
MA-504,Springfield/Hampden County CoC,774,495,267,762,12,307,201,94,295,12,467,294,173,467,0,175,107,68,175,0,81,72,72,9
MA-505,New Bedford CoC,510,130,278,408,102,409,63,248,311,98,101,67,30,97,4,45,33,11,44,1,43,43,43,0
MA-506,Worcester City & County CoC,"1,397",861,500,"1,361",36,518,306,182,488,30,879,555,318,873,6,316,198,116,314,2,120,100,100,20
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",286,53,138,191,95,204,35,127,162,42,82,18,11,29,53,40,9,5,14,26,39,21,21,18
MA-508,Lowell CoC,309,63,235,298,11,163,32,120,152,11,146,31,115,146,0,56,12,44,56,0,36,34,34,2
MA-509,Cambridge CoC,637,455,139,594,43,303,179,81,260,43,334,276,58,334,0,129,105,24,129,0,155,112,112,43
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",813,488,256,744,69,406,143,194,337,69,407,345,62,407,0,109,81,28,109,0,106,88,88,18
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC","1,263",984,233,"1,217",46,367,268,53,321,46,896,716,180,896,0,320,246,74,320,0,145,116,116,29
MA-515,Fall River CoC,154,55,89,144,10,104,36,58,94,10,50,19,31,50,0,22,8,14,22,0,14,14,14,0
MA-516,Massachusetts Balance of State CoC,"1,349",853,458,"1,311",38,357,129,190,319,38,992,724,268,992,0,425,298,127,425,0,59,51,51,8
MA-517,Somerville CoC,132,98,30,128,4,70,42,24,66,4,62,56,6,62,0,27,24,3,27,0,18,17,17,1
MA-519,"Attleboro, Taunton/Bristol County CoC",142,48,65,113,29,68,21,18,39,29,74,27,47,74,0,30,10,20,30,0,17,10,10,7
MD-500,Cumberland/Allegany County CoC,218,95,108,203,15,76,33,31,64,12,142,62,77,139,3,37,15,21,36,1,37,31,31,6
MD-501,Baltimore CoC,"3,419",896,"1,295","2,191","1,228","2,484",664,"1,083","1,747",737,935,232,212,444,491,359,93,70,163,196,853,625,625,228
MD-502,Harford County CoC,152,73,55,128,24,86,47,15,62,24,66,26,40,66,0,22,7,15,22,0,32,21,21,11
MD-503,Annapolis/Anne Arundel County CoC,326,154,78,232,94,198,91,13,104,94,128,63,65,128,0,41,21,20,41,0,53,31,31,22
MD-504,Howard County CoC,180,100,33,133,47,88,43,0,43,45,92,57,33,90,2,30,21,8,29,1,58,17,17,41
MD-505,Baltimore County CoC,"1,520",924,190,"1,114",406,"1,179",707,130,837,342,341,217,60,277,64,131,84,22,106,25,76,52,52,24
MD-506,Carroll County CoC,151,69,54,123,28,116,44,54,98,18,35,25,0,25,10,12,8,0,8,4,29,21,21,8
MD-507,Cecil County CoC,173,64,82,146,27,90,32,37,69,21,83,32,45,77,6,36,15,19,34,2,40,25,25,15
MD-508,"Charles, Calvert, St.Mary's Counties CoC","2,560",314,222,536,"2,024",640,134,90,224,416,"1,920",180,132,312,"1,608",594,55,39,94,500,456,129,129,327
MD-509,Frederick City & County CoC,324,107,150,257,67,186,83,66,149,37,138,24,84,108,30,46,8,28,36,10,66,39,39,27
MD-510,Garrett County CoC,11,1,3,4,7,11,1,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
