CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
FL-600,Miami-Dade County CoC, 4156 ,979,291, 2,886 , 1,965 ,548,141, 1,276 , 1,325 ,431,125,769,26
FL-601,Ft Lauderdale/Broward County CoC, 2766 ,480,230, 2,056 ,917,185,93,639,935,255,93,587,35,0,35, 1
FL-602,Punta Gorda/Charlotte County CoC,511,164,69,278,72,29,5,38,127,54,6,67,4,0,4,203,83
FL-603, Ft Myers Cape Coral/Lee County CoC ,871,103,58,710,249,59,11,179,178,13,20,145,0,0,0,427,72
FL-604,Monroe County CoC,678,61,38,579,235,30,10,195,148,13,4,131,0,0,0,383,43
FL-605,West Palm Beach/Palm Beach County CoC, 1596 ,206,67, 1,323 ,297,73,16,208,333,47,17,269,19,0,19,649
FL-606,Naples/Collier County CoC,361,50,27,284,198,27,11,160,128,17,12,99,0,0,0,326,44
GA-500,Atlanta CoC, 4797 ,411,335, 4,051 , 1,988 ,192,168, 1,628 , 1,434 ,176,110, 1,148 
GA-501,Georgia Balance of State CoC, 7577 , 1,537 ,567, 5,473 , 1,298 ,473,100,725,962,573,81,308,0,0
GA-502,Fulton County CoC,477,136,39,302,57,32,0,25,317,99,28,190,0,0,0,374,131
GA-503,Athens-Clarke County CoC,247,30,24,193,106,14,9,83,54,16,8,30,0,0,0,160,30
GA-504,Augusta-Richmond County CoC,472,70,35,367,192,25,12,155,134,35,11,88,0,0,0,326,60
GA-505,Columbus-Muscogee CoC,312,36,39,237,164,36,23,105,35,0,2,33,0,0,0,199,36
GA-506,Marietta/Cobb County CoC,523,148,17,358,139,33,2,104,240,102,9,129,0,0,0,379,135
GA-507,Savannah/Chatham County CoC, 1315 ,101,108, 1,106 ,294,63,7,224,280,38,9,233,0,0,0,574
GA-508,DeKalb County CoC,801,247,82,472,203,94,47,62,317,142,20,155,0,0,0,520,236
GU-500,Guam CoC, 1356 ,535,149,672,57,27,5,25,69,22,5,42,0,0,0,126,49
HI-500,Hawaii Balance of State CoC, 2206 ,490,193, 1,523 ,281,96,28,157,453,196,26,231,0,0,0,734
HI-501,Honolulu City and County CoC, 4712 , 1,374 ,314, 3,024 ,881,325,54,502, 2,173 ,935,148, 1,090 ,25
IA-500, Sioux City/Dakota Woodbury Counties CoC ,297,88,43,166,140,25,10,105,128,63,30,35,0,0,0,268,88
IA-501,Iowa Balance of State CoC, 1939 ,745,185, 1,009 ,816,224,80,512, 1,058 ,509,102,447,0,0,0
IA-502,Des Moines/Polk County CoC,886,197,83,606,431,69,46,316,353,128,31,194,0,0,0,784,197
ID-500,Boise/Ada County CoC,753,117,46,590,439,62,37,340,268,54,7,207,0,0,0,707,116
ID-501,Idaho Balance of State CoC, 1351 ,401,140,810,300,75,37,188,461,193,46,222,0,0,0,761,268
IL-500,McHenry County CoC,166,31,15,120,76,7,10,59,85,24,4,57,0,0,0,161,31
IL-501, Rockford/DeKalb Winnebago Boone Counties CoC ,506,123,60,323,273,59,33,181,196,61,20,115,0,0,0,469,120
IL-502, Waukegan North Chicago/Lake County CoC ,409,129,25,255,213,79,15,119,176,50,10,116,15,0,15,404,129
IL-503, Champaign Urbana Rantoul/Champaign County CoC ,205,41,21,143,14,4,4,6,179,37,17,125,0,0,0,193,41
IL-504,Madison County CoC,240,107,23,110,107,43,11,53,117,64,10,43,0,0,0,224,107
IL-506, Joliet Bolingbrook/Will County CoC ,309,82,18,209,165,31,17,117,129,51,0,78,0,0,0,294,82
IL-507, Peoria Pekin/Fulton Tazewell Peoria Woodford Counties CoC ,405,104,43,258,234,47,20,167,145,55,21,69,0,0,0,379,102
IL-508, East St. Louis Belleville/St. Clair County CoC ,339,114,29,196,92,46,14,32,109,46,7,56,0,0,0,201,92
IL-510,Chicago CoC, 6287 , 1,652 ,626, 4,009 , 1,864 ,168,134, 1,562 , 3,424 , 1,482 ,419
IL-511,Cook County CoC, 1182 ,345,101,736,468,84,32,352,549,258,61,230,14,2,12, 1,031 
IL-512,Bloomington/Central Illinois CoC,669,169,182,318,438,115,125,198,96,30,23,43,19,2,17,553,145
IL-513,Springfield/Sangamon County CoC,269,64,33,172,139,28,12,99,109,31,16,62,0,0,0,248,59
IL-514,DuPage County CoC,654,221,76,357,216,41,8,167,409,180,68,161,0,0,0,625,221
IL-515,South Central Illinois CoC,118,50,20,48,53,16,8,29,61,34,10,17,0,0,0,114,50
IL-516,Decatur/Macon County CoC,256,80,20,156,115,22,15,78,75,48,2,25,0,0,0,190,70
IL-517, Aurora Elgin/Kane County CoC ,405,63,39,303,278,24,28,226,81,39,10,32,0,0,0,359,63
IL-518, Rock Island Moline/Northwestern Illinois CoC ,218,87,26,105,63,8,5,50,145,79,21,45,9,0,9,217,87
IL-519,West Central Illinois CoC,145,44,35,66,60,7,14,39,80,37,21,22,0,0,0,140,44
IL-520,Southern Illinois CoC,325,86,58,181,163,43,20,100,116,37,22,57,0,0,0,279,80
IN-502,Indiana Balance of State CoC, 4081 ,917,397, 2,767 , 2,385 ,458,236, 1,691 , 1,367 ,452,107,808,0
IN-503,Indianapolis CoC, 1890 ,360,149, 1,381 ,991,160,111,720,803,199,35,569,22,1,21, 1
KS-502,Wichita/Sedgwick County CoC,631,125,47,459,403,59,22,322,135,66,16,53,10,0,10,548,125
KS-503,Topeka/Shawnee County CoC,416,100,22,294,300,65,17,218,85,35,1,49,0,0,0,385,100
KS-505, Overland Park Shawnee/Johnson County CoC ,167,90,10,67,74,40,3,31,86,48,6,32,0,0,0,160,88
KS-507,Kansas Balance of State CoC, 1307 ,316,93,898,635,94,54,487,590,219,32,339,0,0,0, 1,225 
KY-500,Kentucky Balance of State CoC, 2229 ,572,242, 1,415 , 1,093 ,253,101,739,466,173,52,241,0,0,0
KY-501,Louisville-Jefferson County CoC, 1316 ,228,98,990,723,116,51,556,512,112,43,357,11,0,11, 1,246 
KY-502,Lexington-Fayette County CoC, 1544 ,273,144, 1,127 ,566,48,44,474,887,225,98,564,0,0,0, 1
LA-500,Lafayette/Acadiana CoC,471,121,26,324,184,32,11,141,257,89,13,155,0,0,0,441,121
LA-502, Shreveport Bossier/Northwest Louisiana CoC ,655,245,32,378,168,29,4,135,357,216,23,118,4,4,0,529,245
