CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
NY-519, Columbia Greene Counties CoC ,112,29,11,72,99,22,11,66,9,7,0,2,0,0,0,108,29
NY-520, Franklin Essex Counties CoC ,34,1,10,23,31,1,9,21,0,0,0,0,0,0,0,31,1
NY-522, Jefferson Lewis St. Lawrence Counties CoC ,83,6,23,54,75,6,20,49,0,0,0,0,0,0,0,75,6
NY-523, Glens Falls Saratoga Springs/Saratoga Washington Warren Hamilton Counties Co ,262,55,13,194,169,41,7,121,55,11,5,39,0,0,0,224,52
NY-600,New York City CoC, 64060 , 23,201 , 6,704 , 34,155 , 53,482 , 21,813 , 5,659 , 26,010 , 7,272 
NY-601,Poughkeepsie/Dutchess County CoC,397,130,32,235,196,67,20,109,188,63,12,113,0,0,0,384,130
NY-602, Newburgh Middletown/Orange County CoC ,459,89,71,299,233,64,36,133,47,24,9,14,0,0,0,280,88
NY-603, Nassau Suffolk Counties CoC , 3,123 , 1,265 ,308, 1,550 , 2,428 , 1,038 ,231, 1,159 ,578,227,69
NY-604, Yonkers Mount Vernon/Westchester County CoC , 2,054 ,740,220, 1,094 ,873,195,83,595, 1,159 ,541,136,482,0,0
NY-606,Rockland County CoC,107,33,38,36,62,25,16,21,42,8,22,12,0,0,0,104,33
NY-607,Sullivan County CoC,556,178,61,317,549,178,61,310,0,0,0,0,0,0,0,549,178
NY-608,Kingston/Ulster County CoC,442,133,50,259,291,110,27,154,41,9,16,16,0,0,0,332,119
OH-500,Cincinnati/Hamilton County CoC, 1326 ,337,144,845,636,110,68,458,664,227,76,361,0,0,0, 1,300 
OH-501,Toledo/Lucas County CoC,900,207,73,620,484,92,40,352,370,115,31,224,11,0,11,865,207
OH-502,Cleveland/Cuyahoga County CoC, 2129 ,411,149, 1,569 , 1,137 ,201,87,849,896,210,61,625,19,0,19
OH-503,Columbus/Franklin County CoC, 1488 ,271,162, 1,055 , 1,016 ,182,92,742,228,80,39,109,0,0,0
OH-504,Youngstown/Mahoning County CoC,227,62,13,152,121,17,9,95,97,45,4,48,7,0,7,225,62
OH-505, Dayton Kettering/Montgomery County CoC , 1,041 ,268,152,621,616,137,71,408,349,131,73,145,20,0,20,985
OH-506, Akron Barberton/Summit County CoC ,862,207,83,572,345,80,23,242,330,117,49,164,10,0,10,685,197
OH-507,Ohio Balance of State CoC, 3830 , 1,117 ,459, 2,254 , 1,734 ,490,197, 1,047 , 1,421 ,537,163,721
OH-508, Canton Massillon Alliance/Stark County CoC ,522,125,114,283,247,47,58,142,200,72,41,87,19,0,19,466,119
OK-500,North Central Oklahoma CoC,190,66,20,104,78,35,9,34,67,18,8,41,0,0,0,145,53
OK-501,Tulsa City & County CoC, 1008 ,124,81,803,583,60,38,485,257,52,17,188,46,1,45,886,112
OK-502,Oklahoma City CoC, 1362 ,145,113, 1,104 ,820,66,80,674,249,78,17,154,0,0,0, 1
OK-503,Oklahoma Balance of State CoC,272,79,30,163,113,29,8,76,36,14,13,9,0,0,0,149,43
OK-504,Norman/Cleveland County CoC,368,102,33,233,60,11,3,46,153,75,18,60,0,0,0,213,86
OK-505,Northeast Oklahoma CoC,487,126,78,283,288,71,56,161,30,12,6,12,0,0,0,318,83
OK-506,Southwest Oklahoma Regional CoC,196,58,42,96,99,24,20,55,60,24,22,14,0,0,0,159,48
OK-507,Southeastern Oklahoma Regional CoC,525,180,52,293,260,107,18,135,63,14,8,41,0,0,0,323,121
OR-500, Eugene Springfield/Lane County CoC , 1,751 ,226,164, 1,361 ,388,46,19,323,261,116,23,122,0,0,0
OR-501, Portland Gresham/Multnomah County CoC , 4,441 ,749,461, 3,231 ,974,214,135,625, 1,572 ,462,149,961,0,0
OR-502, Medford Ashland/Jackson County CoC ,548,60,31,457,237,23,14,200,199,36,7,156,0,0,0,436,59
OR-503,Central Oregon CoC,506,138,51,317,126,26,16,84,135,54,12,69,0,0,0,261,80
OR-505,Oregon Balance of State CoC, 5525 , 1,653 ,553, 3,319 ,969,184,71,714, 1,225 ,489,127,609,5,0
OR-506, Hillsboro Beaverton/Washington County CoC ,432,73,47,312,66,31,8,27,126,18,15,93,8,1,7,200,49
OR-507,Clackamas County CoC,619,224,61,334,40,21,0,19,101,53,23,25,0,0,0,141,74
PA-500,Philadelphia CoC, 5645 , 1,653 ,595, 3,397 , 3,238 ,902,318, 2,018 , 1,782 ,751,260,771
PA-501,Harrisburg/Dauphin County CoC,390,117,21,252,184,43,9,132,143,62,11,70,15,0,15,342,105
PA-502, Upper Darby Chester Haverford/Delaware County CoC ,546,182,33,331,292,83,19,190,209,99,9,101,0,0,0,501,182
PA-503, Wilkes-Barre Hazleton/Luzerne County CoC ,165,37,20,108,65,15,5,45,88,22,15,51,0,0,0,153,37
PA-504, Lower Merion Norristown Abington/Montgomery County CoC ,464,168,52,244,185,47,20,118,266,121,30,115,0,0,0,451,168
PA-505,Chester County CoC,641,95,46,500,240,25,34,181,350,70,12,268,8,0,8,598,95
PA-506,Reading/Berks County CoC,468,129,34,305,243,37,14,192,212,92,17,103,0,0,0,455,129
PA-508,Scranton/Lackawanna County CoC,252,100,21,131,62,15,6,41,181,85,14,82,4,1,3,247,100
PA-509,Eastern Pennsylvania CoC, 2081 ,689,252, 1,140 ,856,252,107,497,908,402,124,382,0,0,0, 1
PA-510,Lancaster City & County CoC,518,162,60,296,202,43,26,133,306,119,33,154,0,0,0,508,162
PA-511, Bristol Bensalem/Bucks County CoC ,451,203,48,200,110,37,8,65,300,166,38,96,0,0,0,410,203
PA-512,York City & County CoC,278,94,39,145,132,41,22,69,116,41,12,63,0,0,0,248,82
PA-600, Pittsburgh McKeesport Penn Hills/Allegheny County CoC , 1,492 ,398,166,928,369,71,38,260,964,327,113,524,68,0,68, 1
PA-601,Western Pennsylvania CoC, 1170 ,314,145,711,521,100,65,356,504,195,61,248,35,2,33, 1,060 
PA-603,Beaver County CoC,90,24,6,60,21,12,4,5,66,12,2,52,0,0,0,87,24
PA-605,Erie City & County CoC,435,102,52,281,223,32,22,169,160,53,15,92,0,0,0,383,85
PR-502,Puerto Rico Balance of Commonwealth CoC, 2094 ,195,118, 1,781 ,188,15,10,163,718,138,53,527,21,0,21,927
PR-503,South-Southeast Puerto Rico CoC, 2034 ,170,85, 1,779 ,151,7,8,136,277,50,39,188,47,0,47,475
RI-500,Rhode Island Statewide CoC, 1384 ,334,120,930,850,186,71,593,400,144,37,219,17,1,16, 1,267 
SC-500,Charleston/Low Country CoC,733,57,36,640,181,29,16,136,151,28,12,111,0,0,0,332,57
SC-501, Greenville Anderson Spartanburg/Upstate CoC , 2,308 ,533,158, 1,617 ,713,109,56,548,875,270,50,555,12,1,11
SC-502,Columbia/Midlands CoC, 2007 ,289,131, 1,587 ,609,82,32,495,464,122,32,310,0,0,0, 1
SC-503, Myrtle Beach Sumter City & County CoC , 1,496 ,260,111, 1,125 ,174,18,14,142,232,26,26,180,0,0,0
SD-500,South Dakota Statewide CoC, 1094 ,400,95,599,433,139,30,264,322,125,46,151,0,0,0,755,264
TN-500,Chattanooga/Southeast Tennessee CoC,591,141,28,422,280,22,11,247,142,64,8,70,0,0,0,422,86
TN-501,Memphis/Shelby County CoC, 1816 ,422,67, 1,327 ,461,65,5,391, 1,199 ,357,55,787,0,0,0
TN-502,Knoxville/Knox County CoC,993,63,52,878,440,23,25,392,410,36,20,354,0,0,0,850,59
TN-503,Central Tennessee CoC,283,23,52,208,124,19,29,76,146,3,23,120,0,0,0,270,22
TN-504,Nashville-Davidson County CoC, 2069 ,187,204, 1,678 , 1,171 ,92,90,989,637,95,106,436,11,0,11
TN-506,Upper Cumberland CoC,372,99,38,235,80,11,9,60,68,26,6,36,0,0,0,148,37
TN-507,Jackson/West Tennessee CoC, 1673 ,208,102, 1,363 ,190,33,26,131,72,13,1,58,8,0,8,270
TN-509,Appalachian Regional CoC,694,142,8,544,347,44,0,303,70,8,0,62,0,0,0,417,52
TN-510,Murfreesboro/Rutherford County CoC,241,43,21,177,106,34,10,62,55,8,6,41,0,0,0,161,42
TN-512, Morristown/Blount Sevier Campbell Cocke Counties CoC ,796,155,82,559,222,67,19,136,82,14,9,59,0,0,0,304,81
TX-500,San Antonio/Bexar County CoC, 2980 ,532,212, 2,236 , 1,033 ,257,100,676,660,275,19,366,44,3,41
TX-503,Austin/Travis County CoC, 2090 ,420,129, 1,541 ,847,168,50,629,463,252,62,149,15,0,15, 1
TX-600, Dallas City & County Irving CoC , 3,163 ,789,245, 2,129 , 1,708 ,372,110, 1,226 , 1,181 ,410,113,658
TX-601, Fort Worth Arlington/Tarrant County CoC , 2,390 ,739,186, 1,465 , 1,126 ,250,79,797,965,489,85,391,18,0
TX-603,El Paso City & County CoC, 1217 ,334,114,769,544,105,59,380,472,229,48,195,20,0,20, 1,036 
TX-604,Waco/McLennan County CoC,295,102,28,165,118,32,10,76,111,59,6,46,1,0,1,230,91
TX-607,Texas Balance of State CoC, 10128 , 1,362 ,533, 8,233 , 2,575 ,469,115, 1,991 , 1,363 ,199,83, 1
TX-611,Amarillo CoC,516,79,90,347,398,38,90,270,70,41,0,29,0,0,0,468,79
TX-624, Wichita Falls/Wise Palo Pinto Wichita Archer Counties CoC ,302,52,13,237,253,51,12,190,0,0,0,0,0,0,0,253,51
TX-700, Houston Pasadena Conroe/Harris Ft. Bend Montgomery Counties CoC , 6,359 , 1,027 ,499, 4,833 , 1,241 ,341,83,817, 2,127 ,611,163, 1
TX-701, Bryan College Station/Brazos Valley CoC ,175,42,7,126,92,21,6,65,44,10,0,34,0,0,0,136,31
UT-500,Salt Lake City & County CoC, 2133 ,501,117, 1,515 , 1,367 ,272,71, 1,024 ,618,227,33,358,49,1
UT-503,Utah Balance of State CoC,891,287,76,528,337,94,25,218,363,181,36,146,0,0,0,700,275
UT-504,Provo/Mountainland CoC,253,70,26,157,69,17,11,41,56,37,5,14,0,0,0,125,54
VA-500, Richmond/Henrico Chesterfield Hanover Counties CoC ,881,109,49,723,463,66,30,367,349,42,17,290,13,0,13,825,108
VA-501, Norfolk Chesapeake Suffolk/Isle of Wight Southampton Counties CoC ,742,163,51,528,528,90,37,401,169,71,10,88,0,0,0,697,161
VA-502, Roanoke City & County Salem CoC ,442,85,17,340,342,66,13,263,83,19,4,60,0,0,0,425,85
VA-503,Virginia Beach CoC,456,123,13,320,192,39,5,148,197,84,7,106,0,0,0,389,123
VA-504,Charlottesville CoC,195,31,25,139,128,3,20,105,39,28,2,9,0,0,0,167,31
VA-505, Newport News Hampton/Virginia Peninsula CoC ,533,109,20,404,339,45,18,276,133,63,2,68,22,0,22,494,108
VA-507,Portsmouth CoC,247,64,9,174,103,37,7,59,55,22,2,31,0,0,0,158,59
VA-508,Lynchburg CoC,150,52,3,95,85,29,1,55,59,23,2,34,0,0,0,144,52
VA-513, Harrisburg Winchester/Western Virginia CoC ,355,69,29,257,282,61,19,202,4,0,0,4,0,0,0,286,61
VA-514, Fredericksburg/Spotsylvania Stafford Counties CoC ,192,45,24,123,133,25,19,89,31,20,3,8,0,0,0,164,45
VA-521,Virginia Balance of State CoC,715,234,64,417,398,126,37,235,176,84,14,78,0,0,0,574,210
VA-600,Arlington County CoC,479,125,47,307,184,44,21,119,146,81,21,44,3,0,3,333,125
VA-601,Fairfax County CoC, 1350 ,452,111,787,699,170,49,480,539,282,60,197,8,0,8, 1,246 
VA-602,Loudoun County CoC,166,56,8,102,71,20,6,45,54,34,0,20,0,0,0,125,54
VA-603,Alexandria CoC,275,52,35,188,163,25,21,117,71,27,10,34,12,0,12,246,52
VA-604,Prince William County CoC,447,170,39,238,175,70,16,89,155,96,10,49,0,0,0,330,166
VI-500,Virgin Islands CoC,482,24,24,434,68,14,11,43,51,10,6,35,0,0,0,119,24
VT-500,Vermont Balance of State CoC,971,313,126,532,631,231,75,325,231,66,35,130,4,0,4,866,297
VT-501,Burlington/Chittenden County CoC,483,117,50,316,328,103,36,189,76,12,10,54,0,0,0,404,115
WA-500,Seattle/King County CoC, 9106 , 1,576 ,719, 6,811 , 2,874 ,428,205, 2,241 , 3,452 , 1,129 ,433
WA-501,Washington Balance of State CoC, 4671 , 1,275 ,481, 2,915 , 1,451 ,393,130,928, 1,617 ,659,186,772,0
WA-502,Spokane City & County CoC, 1030 ,273,82,675,508,89,28,391,462,180,38,244,0,0,0,970,269
WA-503, Tacoma Lakewood/Pierce County CoC , 1,303 ,464,122,717,550,138,38,374,633,324,73,236,0,0,0, 1
WA-504,Everett/Snohomish County CoC,947,217,126,604,352,98,26,228,251,107,36,108,0,0,0,603,205
WA-508,Vancouver/Clark County CoC,703,234,44,425,234,73,19,142,269,140,12,117,10,0,10,513,213
WI-500,Wisconsin Balance of State CoC, 3610 , 1,296 ,415, 1,899 , 1,847 ,537,212, 1,098 , 1,585 ,727,181,677
WI-501,Milwaukee City & County CoC, 1442 ,387,151,904,651,128,59,464,661,255,77,329,41,2,39, 1,353 
WI-502,Racine City & County CoC,221,64,29,128,117,28,17,72,95,36,12,47,0,0,0,212,64
WI-503,Madison/Dane County CoC,831,233,74,524,421,127,40,254,297,97,14,186,14,1,13,732,224
WV-500, Wheeling Weirton Area CoC ,89,21,4,64,64,7,3,54,23,14,0,9,0,0,0,87,21
WV-501, Huntington/Cabell Wayne Counties CoC ,227,58,19,150,125,30,11,84,76,28,6,42,11,1,10,212,58
WV-503, Charleston/Kanawha Putnam Boone Clay Counties CoC ,411,60,17,334,238,34,8,196,117,26,9,82,0,0,0,355,60
WV-508,West Virginia Balance of State CoC, 1513 ,275,250,988,673,134,53,486,285,67,97,121,0,0,0,958,201
WY-500,Wyoming Statewide CoC,953,223,98,632,292,31,12,249,209,74,9,126,0,0,0,501,105
,Total, 590364 , 138,146 , 59,798 , 392,420 , 236,658 , 65,808 , 22,027 , 148,823 , 156,015 
,,,,,,,,,,,,,,,,,,
 a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However in the companion file Point-in-Time Estimates by State MO-604's data have been split up between MO and KS. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CoC Number,CoC Name, Overall Homeless 2012 , Sheltered ES Homeless, 2012 , Sheltered TH Homeless, 2012 , Sheltered SH Homeless, 2012 , Sheltered Total Homeless, 2012 , Unsheltered Homeless, 2012 , Overall Homeless Individuals, 2012 , Overall Homeless Individuals - Under 18, 2012 , Sheltered ES Homeless Individuals, 2012 
AK-500,Anchorage CoC, 1147 ,704,393,0, 1,097 ,50,791,3,561,3,195,0,0,756,3,35
AK-501,Alaska Balance of State CoC,766,435,184,0,619,147,507,30,288,24,113,4,0,401,28,106,2
AL-500, Birmingham/Jefferson St. Clair Shelby Counties CoC , 1,707 ,347,630,32, 1,009 ,698, 1,222 ,25,277,5,364,0,32,673
AL-501,Mobile City & County/Baldwin County CoC,634,212,112,0,324,310,422,0,130,0,25,0,0,155,0,267,0
AL-502,Florence/Northwest Alabama CoC,192,18,170,0,188,4,162,0,7,0,151,0,0,158,0,4,0
AL-503,Huntsville/North Alabama CoC,607,336,96,0,432,175,448,7,277,4,33,3,0,310,7,138,0
AL-504,Montgomery City & County CoC,487,96,247,0,343,144,383,0,84,0,164,0,0,248,0,135,0
AL-505,Gadsden/Northeast Alabama CoC,544,211,213,0,424,120,451,13,177,11,205,0,0,382,11,69,2
AL-506,Tuscaloosa City & County CoC,152,12,116,0,128,24,99,4,12,0,63,0,0,75,0,24,4
AL-507,Alabama Balance of State CoC,886,431,385,0,816,70,638,0,194,0,378,0,0,572,0,66,0
AR-500,Little Rock/Central Arkansas CoC, 1249 ,329,433,0,762,487, 1,065 ,6,285,5,293,1,0,578,6,487
AR-501,Fayetteville/Northwest Arkansas CoC,186,54,93,0,147,39,109,0,34,0,44,0,0,78,0,31,0
AR-503,Arkansas  Balance of State  CoC, 1930 ,399,163,0,562, 1,368 , 1,788 ,66,341,55,120,11,0,461,66
AR-504,Delta Hills CoC,785,40,27,0,67,718,423,0,4,0,27,0,0,31,0,392,0
AR-505,Southeast Arkansas CoC,64,64,0,0,64,0,43,8,43,8,0,0,0,43,8,0,0
AZ-500,Arizona Balance of State CoC, 2451 , 1,186 ,536,0, 1,722 ,729, 1,381 ,19,868,6,217,12,0, 1
AZ-501,Tucson/Pima County CoC, 2366 ,762,980,15, 1,757 ,609, 1,508 ,31,562,14,444,3,15, 1,021 
AZ-502, Phoenix Mesa/Maricopa County CoC , 6,485 , 2,343 , 2,368 ,25, 4,736 , 1,749 , 3,421 ,79, 1,077 ,10
CA-500,San Jose/Santa Clara City & County CoC, 7053 ,926,949,9, 1,884 , 5,169 , 6,270 ,152,780,7,368,0,9, 1
CA-501,San Francisco CoC, 5895 , 1,757 ,742,25, 2,524 , 3,371 , 5,177 ,35, 1,447 ,10,429,0
CA-502, Oakland Berkeley/Alameda County CoC , 4,257 ,866, 1,179 ,0, 2,045 , 2,212 , 3,208 ,0,546,0,590,0
CA-503,Sacramento City & County CoC, 2812 ,839, 1,018 ,0, 1,857 ,955, 1,985 ,25,477,5,558,0,0, 1
CA-504, Santa Rosa Petaluma/Sonoma County CoC , 4,483 ,530,587,0, 1,117 , 3,366 , 3,890 ,260,362,0,202,0,0
CA-505,Richmond/Contra Costa County CoC, 2386 ,483,413,0,896, 1,490 , 1,960 ,5,315,5,158,0,0,473,5
CA-506, Salinas/Monterey San Benito Counties CoC , 2,673 ,267,495,0,762, 1,911 , 1,761 ,97,0,0,4,0,0,4
CA-507,Marin County CoC,725,201,295,0,496,229,516,0,157,0,130,0,0,287,0,229,0
CA-508,Watsonville/Santa Cruz City & County CoC, 2735 ,370,240,0,610, 2,125 , 2,345 ,95,220,0,60,23,0,280,23
CA-509,Mendocino County CoC, 1441 ,97,30,0,127, 1,314 , 1,347 ,13,78,0,15,0,0,93,0
CA-510, Turlock Modesto/Stanislaus County CoC , 1,470 ,322,357,0,679,791,861,7,157,7,105,0,0,262,7,599
CA-511,Stockton/San Joaquin County CoC, 1569 ,819,503,0, 1,322 ,247,739,5,470,4,47,0,0,517,4,222
CA-512,Daly/San Mateo County CoC, 1845 ,156,527,0,683, 1,162 , 1,274 ,9,91,5,154,2,0,245,7
CA-513, Visalia/Kings Tulare Counties CoC ,771,147,269,0,416,355,566,1,76,0,170,0,0,246,0,320,1
CA-514,Fresno City & County/Madera County CoC, 4492 ,141,506,23,670, 3,822 , 3,554 ,15,59,5,248,2,23,330,7
CA-515, Roseville Rocklin/Placer County CoC ,742,172,215,0,387,355,508,0,91,0,100,0,0,191,0,317,0
CA-516, Redding/Shasta Siskiyou Lassen Plumas Del Norte Modoc Sierra Counties CoC ,524,250,92,0,342,182,384,5,161,0,71,4,0,232,4,152,1
CA-517,Napa City & County CoC,248,109,47,0,156,92,184,0,87,0,14,0,0,101,0,83,0
CA-518,Vallejo/Solano County CoC,622,154,233,0,387,235,383,5,58,0,139,5,0,197,5,186,0
CA-519, Chico Paradise/Butte County CoC ,897,195,162,0,357,540,760,7,161,0,86,0,0,247,0,513,7
CA-520,Merced City & County CoC,502,89,75,0,164,338,479,0,83,0,58,0,0,141,0,338,0
CA-521, Davis Woodland/Yolo County CoC ,513,104,146,0,250,263,383,2,82,1,55,0,0,137,1,246,1
CA-522,Humboldt County CoC,846,260,132,0,392,454,633,13,173,3,59,5,0,232,8,401,5
CA-523, Colusa Glenn Trinity Counties CoC ,303,80,84,0,164,139,185,0,45,0,33,0,0,78,0,107,0
CA-524,Yuba City & County/Sutter County CoC,492,133,139,0,272,220,311,0,61,0,88,0,0,149,0,162,0
CA-525,El Dorado County CoC,217,110,70,0,180,37,155,6,84,6,40,0,0,124,6,31,0
CA-526, Amador Calaveras Mariposa Tuolumne Counties CoC ,379,45,65,0,110,269,204,3,26,0,17,0,0,43,0,161,3
CA-528,Del Norte County CoC,437,16,0,0,16,421,305,0,0,0,0,0,0,0,0,305,0
CA-600,Los Angeles City & County CoC, 31553 , 7,173 , 6,618 ,22, 13,813 , 17,740 , 24,609 ,368, 4,589 ,60, 4
CA-601,San Diego City and County CoC, 10013 , 1,040 , 3,279 ,52, 4,371 , 5,642 , 7,755 ,64,793,17, 1,914 
CA-602, Santa Ana Anaheim/Orange County CoC , 7,010 , 1,154 , 1,584 ,0, 2,738 , 4,272 , 5,257 ,41,543,15,464
CA-603,Santa Maria/Santa Barbara County CoC, 1546 ,499,179,0,678,868, 1,318 ,2,397,1,96,0,0,493,1,825
CA-604,Bakersfield/Kern County CoC, 1352 ,368,151,0,519,833, 1,146 ,1,252,0,105,0,0,357,0,789
CA-606,Long Beach CoC, 3170 ,420,528,19,967, 2,203 , 2,609 ,0,325,0,329,0,19,673,0
CA-607,Pasadena CoC,904,354,113,0,467,437,779,0,285,0,63,0,0,348,0,431,0
CA-608,Riverside City & County CoC, 6096 ,479,527,0, 1,006 , 5,090 , 5,605 ,120,342,11,204,0,0,546
CA-609,San Bernardino City & County CoC, 2532 ,382,458,0,840, 1,692 , 1,781 ,3,240,0,175,0,0,415,0
CA-611, Oxnard San Buenaventura/Ventura County CoC , 1,926 ,350,323,10,683, 1,243 , 1,627 ,0,295,0,118,0,10,423
CA-612,Glendale CoC,299,94,85,0,179,120,165,0,45,0,0,0,0,45,0,120,0
CA-613,Imperial County CoC,239,93,43,0,136,103,158,7,55,7,0,0,0,55,7,103,0
CA-614,San Luis Obispo County CoC, 2129 ,156,72,0,228, 1,901 , 1,752 ,0,100,0,38,0,0,138,0
CO-500,Colorado Balance of State CoC, 9283 ,631,384,0, 1,015 , 8,268 , 1,615 ,304,237,0,58,0,0,295
CO-503,Metropolitan Denver CoC, 6358 , 2,441 , 2,928 ,25, 5,394 ,964, 2,677 ,31, 1,349 ,15,640,14
CO-504,Colorado Springs/El Paso County CoC, 1127 ,430,421,0,851,276,809,0,306,0,232,0,0,538,0,271,0
CT-503, Bridgeport Stamford Norwalk Danbury/Fairfield County CoC ,902,469,272,0,741,161,587,0,310,0,128,0,0,438,0,149,0
CT-505,Connecticut Balance of State CoC, 3307 , 1,802 ,971,0, 2,773 ,534, 2,319 ,1, 1,267 ,1,547,0,0
DC-500,District of Columbia CoC, 6954 , 3,772 , 2,503 ,0, 6,275 ,679, 3,767 ,13, 2,166 ,10,922,3
DE-500,Delaware Statewide CoC, 1008 ,527,449,10,986,22,611,0,364,0,215,0,10,589,0,22,0
FL-500, Sarasota Bradenton/Manatee Sarasota Counties CoC ,921,369,295,0,664,257,733,31,302,8,197,22,0,499,30,234,1
FL-501,Tampa/Hillsborough County CoC, 7419 ,377,575,20,972, 6,447 , 4,515 ,182,285,5,319,0,20,624,5
FL-502, St. Petersburg Clearwater Largo/Pinellas County CoC , 3,971 , 1,191 ,722,38, 1,951 , 2,020 , 2,922 ,113, 1,033 ,5,631
FL-503, Lakeland Winterhaven/Polk County CoC ,881,122,175,0,297,584,750,0,91,0,109,0,0,200,0,550,0
FL-504, Deltona Daytona Beach/Volusia Flagler Counties CoC , 2,384 ,81,422,0,503, 1,881 , 2,123 ,0,53,0,189,0,0,242
FL-505, Fort Walton Beach/Okaloosa Walton Counties CoC , 2,438 ,271,239,0,510, 1,928 ,975,45,199,28,163,0,0,362,28
FL-506,Tallahassee/Leon County CoC,797,389,349,0,738,59,634,14,321,14,254,0,0,575,14,59,0
FL-507, Orlando/Orange Osceola Seminole Counties CoC , 3,661 ,856, 1,345 ,17, 2,218 , 1,443 , 2,330 ,11,537,0,651,11
FL-508, Gainesville/Alachua Putnam Counties CoC , 1,814 ,202,187,0,389, 1,425 , 1,476 ,28,98,15,99,9,0,197
FL-509, Fort Pierce/St. Lucie Indian River Martin Counties CoC , 1,724 ,65,114,0,179, 1,545 ,917,8,16,6,10,0,0,26,6
FL-510, Jacksonville-Duval Clay Counties CoC , 2,861 ,842,700,0, 1,542 , 1,319 , 2,294 ,34,615,20,401,8,0
FL-511, Pensacola/Escambia Santa Rosa Counties CoC ,792,171,355,0,526,266,667,6,126,0,282,5,0,408,5,259,1
FL-512,St. Johns County CoC, 1385 ,64,120,0,184, 1,201 ,996,0,35,0,21,0,0,56,0,940
FL-513, Palm Bay Melbourne/Brevard County CoC , 2,062 ,242,501,0,743, 1,319 , 1,386 ,190,76,11,214,52,0,290
FL-514,Ocala/Marion County CoC,911,107,204,0,311,600,787,53,93,24,100,29,0,193,53,594,0
FL-515, Panama City/Bay Jackson Counties CoC ,322,106,129,0,235,87,244,0,99,0,61,0,0,160,0,84,0
FL-517, Hendry Hardee Highlands Counties CoC , 1,319 ,0,114,0,114, 1,205 ,559,22,0,0,114,22,0,114,22
FL-518, Columbia Hamilton Lafayette Suwannee Counties CoC , 1,180 ,48,36,0,84, 1,096 ,803,16,27,11,36,0,0,63,11
FL-519,Pasco County CoC, 4351 ,147,45,0,192, 4,159 , 1,308 ,137,96,12,45,0,0,141,12
FL-520, Citrus Hernando Lake Sumter Counties CoC , 1,788 ,201,202,0,403, 1,385 , 1,227 ,23,86,15,152,8,0,238
FL-600,Miami-Dade County CoC, 3976 , 1,713 , 1,368 ,27, 3,108 ,868, 2,517 ,33,940,33,682,0,27
FL-601,Ft Lauderdale/Broward County CoC, 3183 ,774, 1,108 ,33, 1,915 , 1,268 , 2,627 ,36,578,14,779,16,33
FL-602,Punta Gorda/Charlotte County CoC,756,75,132,4,211,545,584,2,42,0,132,0,4,178,0,406,2
FL-603, Ft Myers Cape Coral/Lee County CoC ,781,184,226,0,410,371,637,0,149,0,193,0,0,342,0,295,0
FL-604,Monroe County CoC,922,230,134,0,364,558,793,14,190,7,111,0,0,301,7,492,7
FL-605,West Palm Beach/Palm Beach County CoC, 2116 ,350,353,16,719, 1,397 , 1,667 ,14,194,8,225,1,16,435,9
FL-606,Naples/Collier County CoC,455,211,139,0,350,105,300,1,154,1,41,0,0,195,1,105,0
GA-500,Atlanta CoC, 6811 , 2,315 , 2,096 ,22, 4,433 , 2,378 , 5,458 ,15, 1,879 ,0, 1
GA-501,Georgia Balance of State CoC, 11105 , 1,129 , 1,121 ,0, 2,250 , 8,855 , 7,872 ,98,455,6,139,0
GA-503,Athens-Clarke County CoC,361,54,84,0,138,223,273,0,44,0,14,0,0,58,0,215,0
GA-504,Augusta-Richmond County CoC,396,242,149,0,391,5,265,0,190,0,73,0,0,263,0,2,0
GA-505,Columbus-Muscogee CoC,333,224,54,0,278,55,236,2,143,2,54,0,0,197,2,39,0
GA-506,Marietta/Cobb County CoC,392,93,250,0,343,49,193,0,59,0,88,0,0,147,0,46,0
GA-507,Savannah/Chatham County CoC, 1118 ,234,253,0,487,631, 1,066 ,4,208,4,227,0,0,435,4,631
GU-500,Guam CoC, 1301 ,66,121,0,187, 1,114 ,255,6,26,5,39,1,0,65,6,190
HI-500,Hawaii Balance of State CoC, 1893 ,257,434,0,691, 1,202 , 1,121 ,0,104,0,106,0,0,210,0
HI-501,Honolulu City and County CoC, 4353 ,884, 2,126 ,25, 3,035 , 1,318 , 2,009 ,9,409,2,431,0,25
IA-500, Sioux City/Dakota Woodbury Counties CoC ,250,100,133,0,233,17,119,0,74,0,28,0,0,102,0,17,0
